id	hex	temp	tone	light_or_dark	text_on_bg	Emotinal	Marketing	Analytical / design
1	#7E1B1B	warm	deep	dark	white	passionate, energetic, bold	energetic, attention-grabbing, bold	aggressive, stimulating, active
2	#BD2828	warm	dark	dark	white	passionate, energetic, bold	energetic, attention-grabbing, bold	aggressive, stimulating, active
3	#DB5757	warm	mid	dark	black	passionate, energetic, bold	energetic, attention-grabbing, bold	aggressive, stimulating, active
4	#E99696	warm	light	light	black	passionate, energetic, bold	energetic, attention-grabbing, bold	aggressive, stimulating, active
5	#F6D5D5	warm	ultra-light	light	black	passionate, energetic, bold	energetic, attention-grabbing, bold	aggressive, stimulating, active
6	#7E341B	warm	deep	dark	white	passionate, energetic, bold	energetic, attention-grabbing, bold	aggressive, stimulating, active
7	#BD4D28	warm	dark	dark	white	passionate, energetic, bold	energetic, attention-grabbing, bold	aggressive, stimulating, active
8	#DB7857	warm	mid	dark	black	passionate, energetic, bold	energetic, attention-grabbing, bold	aggressive, stimulating, active
9	#E9AB96	warm	light	light	black	passionate, energetic, bold	energetic, attention-grabbing, bold	aggressive, stimulating, active
10	#F6DDD5	warm	ultra-light	light	black	passionate, energetic, bold	energetic, attention-grabbing, bold	aggressive, stimulating, active
11	#7E4D1B	warm	deep	dark	white	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
12	#BD7328	warm	dark	dark	black	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
13	#DB9957	warm	mid	dark	black	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
14	#E9BF96	warm	light	light	black	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
15	#F6E6D5	warm	ultra-light	light	black	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
16	#7E651B	warm	deep	dark	white	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
17	#BD9828	warm	dark	dark	black	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
18	#DBBA57	warm	mid	dark	black	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
19	#E9D496	warm	light	light	black	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
20	#F6EED5	warm	ultra-light	light	black	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
21	#7E7E1B	warm	deep	dark	white	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
22	#BDBD28	warm	dark	dark	black	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
23	#DBDB57	warm	mid	dark	black	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
24	#E9E996	warm	light	light	black	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
25	#F6F6D5	warm	ultra-light	light	black	warm, friendly, joyful	friendly, approachable, optimistic	bright, welcoming, optimistic
26	#657E1B	neutral	deep	dark	white	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
27	#98BD28	neutral	dark	dark	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
28	#BADB57	neutral	mid	dark	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
29	#D4E996	neutral	light	light	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
30	#EEF6D5	neutral	ultra-light	light	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
31	#4D7E1B	cool	deep	dark	white	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
32	#73BD28	cool	dark	dark	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
33	#99DB57	cool	mid	dark	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
34	#BFE996	cool	light	light	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
35	#E6F6D5	cool	ultra-light	light	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
36	#347E1B	cool	deep	dark	white	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
37	#4DBD28	cool	dark	dark	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
38	#78DB57	cool	mid	dark	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
39	#ABE996	cool	light	light	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
40	#DDF6D5	cool	ultra-light	light	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
41	#1B7E1B	cool	deep	dark	white	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
42	#28BD28	cool	dark	dark	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
43	#57DB57	cool	mid	dark	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
44	#96E996	cool	light	light	black	natural, fresh, balanced	natural, sustainable, balanced	natural, organic, balanced
